seq.id	Class	Species	alignment.start	alignment.end	envelope.start	envelope.end	LGIC.Family	hmm.acc	hmm.name	type	hmm.start	hmm.end	hmm.length	bit.score	E.value	significance	clan
BOX15_Mlig004551g4	Free-living	Macrostomum_lignano	73	594	73	594	ASIC family	PF00858.27	ASC	Family	1	445	445	176.7	4.80E-55	1	No_clan
BOX15_Mlig004814g1	Free-living	Macrostomum_lignano	39	578	39	579	ASIC family	PF00858.27	ASC	Family	1	444	445	308.8	4.00E-95	1	No_clan
BOX15_Mlig004863g1	Free-living	Macrostomum_lignano	104	293	91	294	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	21	216	217	188.3	7.20E-59	1	No_clan
BOX15_Mlig004863g1	Free-living	Macrostomum_lignano	301	651	301	651	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	238	238	122	2.50E-38	1	No_clan
BOX15_Mlig005119g9	Free-living	Macrostomum_lignano	86	296	85	296	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	2	217	217	212.7	2.50E-66	1	No_clan
BOX15_Mlig005119g9	Free-living	Macrostomum_lignano	303	616	303	623	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	232	238	131.2	3.70E-41	1	No_clan
BOX15_Mlig005363g2	Free-living	Macrostomum_lignano	58	574	55	574	ASIC family	PF00858.27	ASC	Family	6	445	445	170	5.40E-53	1	No_clan
BOX15_Mlig005480g1	Free-living	Macrostomum_lignano	1	258	1	258	Cys-loop family	PF02932.19	Neur_chan_memb	Family	29	238	238	96.1	2.00E-30	1	No_clan
BOX15_Mlig005955g1	Free-living	Macrostomum_lignano	357	450	353	452	iGluR family	PF10613.12	Lig_chan-Glu_bd	Domain	5	113	115	23.7	2.50E-08	0	CL0177
BOX15_Mlig005955g1	Free-living	Macrostomum_lignano	467	723	465	723	iGluR family	PF00060.29	Lig_chan	Family	3	149	149	65.8	2.30E-21	1	CL0030
BOX15_Mlig006056g2	Free-living	Macrostomum_lignano	18	995	18	995	ASIC family	PF00858.27	ASC	Family	1	445	445	154.5	2.60E-48	1	No_clan
BOX15_Mlig006075g1	Free-living	Macrostomum_lignano	39	598	39	598	ASIC family	PF00858.27	ASC	Family	1	445	445	179.3	7.90E-56	1	No_clan
BOX15_Mlig006140g2	Free-living	Macrostomum_lignano	1	71	1	72	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	138	216	217	17.7	1.10E-06	0	No_clan
BOX15_Mlig006140g2	Free-living	Macrostomum_lignano	79	117	79	124	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	38	238	37.2	2.00E-12	1	No_clan
BOX15_Mlig006398g1	Free-living	Macrostomum_lignano	42	347	42	387	ASIC family	PF00858.27	ASC	Family	1	182	445	59.3	2.10E-19	1	No_clan
BOX15_Mlig006398g1	Free-living	Macrostomum_lignano	582	1001	568	1001	ASIC family	PF00858.27	ASC	Family	145	445	445	93.4	9.20E-30	1	No_clan
BOX15_Mlig006976g1	Free-living	Macrostomum_lignano	51	426	51	470	ASIC family	PF00858.27	ASC	Family	1	327	445	110.2	7.30E-35	1	No_clan
BOX15_Mlig007166g1	Free-living	Macrostomum_lignano	19	585	15	585	ASIC family	PF00858.27	ASC	Family	5	445	445	183.9	3.20E-57	1	No_clan
BOX15_Mlig007204g1	Free-living	Macrostomum_lignano	15	102	15	349	ASIC family	PF00858.27	ASC	Family	1	90	445	40.9	7.70E-14	1	No_clan
BOX15_Mlig007204g1	Free-living	Macrostomum_lignano	581	995	568	995	ASIC family	PF00858.27	ASC	Family	153	445	445	106.6	8.90E-34	1	No_clan
BOX15_Mlig007222g3	Free-living	Macrostomum_lignano	24	599	24	600	ASIC family	PF00858.27	ASC	Family	1	444	445	215.5	8.10E-67	1	No_clan
BOX15_Mlig007416g1	Free-living	Macrostomum_lignano	9	96	9	111	ASIC family	PF00858.27	ASC	Family	1	88	445	63.1	1.50E-20	1	No_clan
BOX15_Mlig007558g1	Free-living	Macrostomum_lignano	148	703	148	703	ASIC family	PF00858.27	ASC	Family	1	445	445	205.4	9.60E-64	1	No_clan
BOX15_Mlig007609g1	Free-living	Macrostomum_lignano	33	404	9	404	ASIC family	PF00858.27	ASC	Family	140	445	445	127.8	3.40E-40	1	No_clan
BOX15_Mlig008197g1	Free-living	Macrostomum_lignano	50	266	48	267	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	216	217	163.7	2.50E-51	1	No_clan
BOX15_Mlig008197g1	Free-living	Macrostomum_lignano	274	355	274	358	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	82	238	88.5	4.10E-28	1	No_clan
BOX15_Mlig008883g4	Free-living	Macrostomum_lignano	22	235	12	237	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	17	215	217	125.1	1.50E-39	1	No_clan
BOX15_Mlig008883g4	Free-living	Macrostomum_lignano	245	339	244	351	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	98	238	86.7	1.50E-27	1	No_clan
BOX15_Mlig008995g1	Free-living	Macrostomum_lignano	132	236	126	268	ASIC family	PF00858.27	ASC	Family	232	328	445	16.9	1.50E-06	0	No_clan
BOX15_Mlig008995g1	Free-living	Macrostomum_lignano	386	441	354	441	ASIC family	PF00858.27	ASC	Family	390	445	445	45.3	3.70E-15	1	No_clan
BOX15_Mlig008995g3	Free-living	Macrostomum_lignano	19	389	15	457	ASIC family	PF00858.27	ASC	Family	5	331	445	138.9	1.40E-43	1	No_clan
BOX15_Mlig008995g3	Free-living	Macrostomum_lignano	536	591	478	591	ASIC family	PF00858.27	ASC	Family	390	445	445	44.8	5.00E-15	1	No_clan
BOX15_Mlig009331g1	Free-living	Macrostomum_lignano	106	495	68	495	ASIC family	PF00858.27	ASC	Family	147	445	445	142.6	1.10E-44	1	No_clan
BOX15_Mlig009398g1	Free-living	Macrostomum_lignano	26	233	24	233	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	217	217	214.9	5.10E-67	1	No_clan
BOX15_Mlig009398g1	Free-living	Macrostomum_lignano	240	486	240	487	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	246	3.20E-76	1	No_clan
BOX15_Mlig009517g1	Free-living	Macrostomum_lignano	57	638	57	639	ASIC family	PF00858.27	ASC	Family	1	444	445	207.3	2.50E-64	1	No_clan
BOX15_Mlig009538g1	Free-living	Macrostomum_lignano	66	181	35	185	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	32	144	217	40.5	1.20E-13	1	No_clan
BOX15_Mlig009645g1	Free-living	Macrostomum_lignano	24	530	24	530	ASIC family	PF00858.27	ASC	Family	1	445	445	135.8	1.20E-42	1	No_clan
BOX15_Mlig009645g2	Free-living	Macrostomum_lignano	24	376	24	393	ASIC family	PF00858.27	ASC	Family	1	306	445	86.1	1.50E-27	1	No_clan
BOX15_Mlig009645g3	Free-living	Macrostomum_lignano	24	123	24	264	ASIC family	PF00858.27	ASC	Family	1	99	445	59.7	1.50E-19	1	No_clan
BOX15_Mlig009716g1	Free-living	Macrostomum_lignano	66	237	35	261	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	15	186	217	128.8	1.10E-40	1	No_clan
BOX15_Mlig009716g2	Free-living	Macrostomum_lignano	66	258	35	260	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	15	215	217	128.6	1.30E-40	1	No_clan
BOX15_Mlig009716g2	Free-living	Macrostomum_lignano	267	355	267	385	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	88	238	58.4	6.50E-19	1	No_clan
BOX15_Mlig010174g1	Free-living	Macrostomum_lignano	25	242	24	242	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	2	217	217	242.3	2.20E-75	1	No_clan
BOX15_Mlig010174g1	Free-living	Macrostomum_lignano	249	583	249	584	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	209.1	6.10E-65	1	No_clan
BOX15_Mlig010186g1	Free-living	Macrostomum_lignano	32	551	31	551	ASIC family	PF00858.27	ASC	Family	3	445	445	121.2	3.40E-38	1	No_clan
BOX15_Mlig010245g2	Free-living	Macrostomum_lignano	19	578	15	578	ASIC family	PF00858.27	ASC	Family	5	445	445	199.5	5.80E-62	1	No_clan
BOX15_Mlig010678g1	Free-living	Macrostomum_lignano	30	248	24	248	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	5	217	217	138.7	1.10E-43	1	No_clan
BOX15_Mlig010678g1	Free-living	Macrostomum_lignano	256	339	255	344	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	85	238	60.5	1.50E-19	1	No_clan
BOX15_Mlig011179g1	Free-living	Macrostomum_lignano	60	247	43	248	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	15	216	217	87.8	3.90E-28	1	No_clan
BOX15_Mlig011325g2	Free-living	Macrostomum_lignano	57	258	57	307	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	1	188	217	149.6	4.80E-47	1	No_clan
BOX15_Mlig011325g2	Free-living	Macrostomum_lignano	314	543	314	548	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	233	238	112.3	2.30E-35	1	No_clan
BOX15_Mlig011397g1	Free-living	Macrostomum_lignano	14	585	14	585	ASIC family	PF00858.27	ASC	Family	1	445	445	161.8	1.60E-50	1	No_clan
BOX15_Mlig011411g1	Free-living	Macrostomum_lignano	19	107	15	146	ASIC family	PF00858.27	ASC	Family	5	94	445	65.5	2.70E-21	1	No_clan
BOX15_Mlig012953g1	Free-living	Macrostomum_lignano	10	534	10	534	ASIC family	PF00858.27	ASC	Family	1	445	445	164.7	2.20E-51	1	No_clan
BOX15_Mlig013241g1	Free-living	Macrostomum_lignano	62	646	62	646	ASIC family	PF00858.27	ASC	Family	1	445	445	177.9	2.20E-55	1	No_clan
BOX15_Mlig013326g1	Free-living	Macrostomum_lignano	6	59	1	59	ASIC family	PF00858.27	ASC	Family	392	445	445	44.4	7.00E-15	1	No_clan
BOX15_Mlig013503g1	Free-living	Macrostomum_lignano	51	552	49	552	ASIC family	PF00858.27	ASC	Family	3	445	445	153.6	5.10E-48	1	No_clan
BOX15_Mlig013616g1	Free-living	Macrostomum_lignano	30	246	28	246	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	217	217	151.9	9.70E-48	1	No_clan
BOX15_Mlig013616g1	Free-living	Macrostomum_lignano	254	471	253	472	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	237	238	75.4	4.10E-24	1	No_clan
BOX15_Mlig013723g1	Free-living	Macrostomum_lignano	71	304	62	304	ASIC family	PF00858.27	ASC	Family	294	445	445	65.2	3.30E-21	1	No_clan
BOX15_Mlig014011g1	Free-living	Macrostomum_lignano	185	737	185	737	ASIC family	PF00858.27	ASC	Family	1	445	445	183.4	4.60E-57	1	No_clan
BOX15_Mlig014244g1	Free-living	Macrostomum_lignano	49	255	47	256	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	216	217	152.1	8.30E-48	1	No_clan
BOX15_Mlig014244g1	Free-living	Macrostomum_lignano	263	504	263	504	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	238	238	125.1	2.70E-39	1	No_clan
BOX15_Mlig014550g2	Free-living	Macrostomum_lignano	10	519	10	519	ASIC family	PF00858.27	ASC	Family	1	445	445	141.8	1.90E-44	1	No_clan
BOX15_Mlig014979g1	Free-living	Macrostomum_lignano	42	256	31	257	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	14	216	217	201.8	5.40E-63	1	No_clan
BOX15_Mlig014979g1	Free-living	Macrostomum_lignano	264	483	264	483	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	238	238	187	3.30E-58	1	No_clan
BOX15_Mlig015081g1	Free-living	Macrostomum_lignano	55	611	55	611	ASIC family	PF00858.27	ASC	Family	1	445	445	149.6	8.30E-47	1	No_clan
BOX15_Mlig015081g3	Free-living	Macrostomum_lignano	94	437	94	449	ASIC family	PF00858.27	ASC	Family	1	311	445	96.2	1.30E-30	1	No_clan
BOX15_Mlig015174g1	Free-living	Macrostomum_lignano	43	247	40	248	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	4	216	217	170.1	2.70E-53	1	No_clan
BOX15_Mlig015174g1	Free-living	Macrostomum_lignano	255	425	255	448	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	168	238	125.3	2.50E-39	1	No_clan
BOX15_Mlig015174g1	Free-living	Macrostomum_lignano	496	555	471	555	Cys-loop family	PF02932.19	Neur_chan_memb	Family	179	238	238	22.6	5.80E-08	0	No_clan
BOX15_Mlig015178g3	Free-living	Macrostomum_lignano	52	556	52	556	ASIC family	PF00858.27	ASC	Family	1	445	445	199.3	7.00E-62	1	No_clan
BOX15_Mlig015385g1	Free-living	Macrostomum_lignano	27	601	27	601	ASIC family	PF00858.27	ASC	Family	1	445	445	194	2.70E-60	1	No_clan
BOX15_Mlig015393g1	Free-living	Macrostomum_lignano	25	136	23	136	iGluR family	PF10613.12	Lig_chan-Glu_bd	Domain	3	115	115	78.8	1.90E-25	1	CL0177
BOX15_Mlig015393g1	Free-living	Macrostomum_lignano	157	273	154	461	iGluR family	PF00060.29	Lig_chan	Family	4	97	149	51.3	6.40E-17	1	CL0030
BOX15_Mlig015474g3	Free-living	Macrostomum_lignano	86	291	84	292	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	2	216	217	149.4	5.90E-47	1	No_clan
BOX15_Mlig015474g3	Free-living	Macrostomum_lignano	299	537	299	537	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	238	238	110.8	6.60E-35	1	No_clan
BOX15_Mlig015854g1	Free-living	Macrostomum_lignano	43	262	37	262	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	9	217	217	203.8	1.30E-63	1	No_clan
BOX15_Mlig015854g1	Free-living	Macrostomum_lignano	269	526	269	527	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	171.5	1.90E-53	1	No_clan
BOX15_Mlig016491g1	Free-living	Macrostomum_lignano	30	157	27	163	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	4	124	217	79.6	1.30E-25	1	No_clan
BOX15_Mlig016491g12	Free-living	Macrostomum_lignano	31	225	29	234	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	4	194	217	140.4	3.30E-44	1	No_clan
BOX15_Mlig016990g2	Free-living	Macrostomum_lignano	15	530	15	530	ASIC family	PF00858.27	ASC	Family	1	445	445	188.1	1.70E-58	1	No_clan
BOX15_Mlig017198g1	Free-living	Macrostomum_lignano	36	601	35	601	ASIC family	PF00858.27	ASC	Family	2	445	445	168.8	1.20E-52	1	No_clan
BOX15_Mlig018669g1	Free-living	Macrostomum_lignano	15	572	15	572	ASIC family	PF00858.27	ASC	Family	1	445	445	186.3	6.00E-58	1	No_clan
BOX15_Mlig018909g1	Free-living	Macrostomum_lignano	25	586	25	587	ASIC family	PF00858.27	ASC	Family	1	444	445	173.7	4.00E-54	1	No_clan
BOX15_Mlig019094g1	Free-living	Macrostomum_lignano	46	518	46	519	ASIC family	PF00858.27	ASC	Family	1	444	445	139.1	1.30E-43	1	No_clan
BOX15_Mlig019166g1	Free-living	Macrostomum_lignano	36	243	34	243	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	217	217	224.8	4.80E-70	1	No_clan
BOX15_Mlig019166g1	Free-living	Macrostomum_lignano	250	511	250	512	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	251.1	9.20E-78	1	No_clan
BOX15_Mlig020199g1	Free-living	Macrostomum_lignano	67	657	67	658	ASIC family	PF00858.27	ASC	Family	1	444	445	208.1	1.40E-64	1	No_clan
BOX15_Mlig020283g2	Free-living	Macrostomum_lignano	43	262	37	262	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	9	217	217	204.7	6.80E-64	1	No_clan
BOX15_Mlig020283g2	Free-living	Macrostomum_lignano	269	553	269	554	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	177	3.80E-55	1	No_clan
BOX15_Mlig020704g1	Free-living	Macrostomum_lignano	57	608	54	610	ASIC family	PF00858.27	ASC	Family	4	443	445	143.2	7.30E-45	1	No_clan
BOX15_Mlig020801g1	Free-living	Macrostomum_lignano	71	681	71	681	ASIC family	PF00858.27	ASC	Family	1	445	445	145.7	1.30E-45	1	No_clan
BOX15_Mlig021130g3	Free-living	Macrostomum_lignano	184	742	184	743	ASIC family	PF00858.27	ASC	Family	1	444	445	192.3	9.30E-60	1	No_clan
BOX15_Mlig021706g1	Free-living	Macrostomum_lignano	47	105	22	105	ASIC family	PF00858.27	ASC	Family	388	445	445	45.1	4.00E-15	1	No_clan
BOX15_Mlig021793g2	Free-living	Macrostomum_lignano	23	230	22	231	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	2	216	217	157	2.70E-49	1	No_clan
BOX15_Mlig021793g2	Free-living	Macrostomum_lignano	238	464	238	464	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	238	238	123.8	6.90E-39	1	No_clan
BOX15_Mlig021793g2	Free-living	Macrostomum_lignano	295	467	293	469	iGluR family	PF00060.29	Lig_chan	Family	3	89	149	11	0.00017	0	CL0030
BOX15_Mlig021913g2	Free-living	Macrostomum_lignano	77	567	77	567	ASIC family	PF00858.27	ASC	Family	1	445	445	272.6	3.90E-84	1	No_clan
BOX15_Mlig022345g1	Free-living	Macrostomum_lignano	19	289	15	305	ASIC family	PF00858.27	ASC	Family	5	238	445	111.9	2.30E-35	1	No_clan
BOX15_Mlig022931g1	Free-living	Macrostomum_lignano	11	528	11	528	ASIC family	PF00858.27	ASC	Family	1	445	445	187.4	2.70E-58	1	No_clan
BOX15_Mlig022967g3	Free-living	Macrostomum_lignano	142	686	142	686	ASIC family	PF00858.27	ASC	Family	1	445	445	206.2	5.60E-64	1	No_clan
BOX15_Mlig023547g1	Free-living	Macrostomum_lignano	36	231	34	280	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	186	217	152.4	6.70E-48	1	No_clan
BOX15_Mlig023547g1	Free-living	Macrostomum_lignano	289	525	289	530	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	233	238	111.4	4.20E-35	1	No_clan
BOX15_Mlig023922g2	Free-living	Macrostomum_lignano	28	245	27	245	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	2	217	217	264.1	4.60E-82	1	No_clan
BOX15_Mlig023922g2	Free-living	Macrostomum_lignano	252	525	252	526	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	237	238	281.6	4.20E-87	1	No_clan
BOX15_Mlig023951g1	Free-living	Macrostomum_lignano	25	528	25	528	ASIC family	PF00858.27	ASC	Family	1	445	445	210.7	2.30E-65	1	No_clan
BOX15_Mlig024322g2	Free-living	Macrostomum_lignano	3	249	1	249	ASIC family	PF00858.27	ASC	Family	249	445	445	70.3	9.80E-23	1	No_clan
BOX15_Mlig024322g3	Free-living	Macrostomum_lignano	66	572	66	573	ASIC family	PF00858.27	ASC	Family	1	433	445	153.5	5.40E-48	1	No_clan
BOX15_Mlig024348g1	Free-living	Macrostomum_lignano	11	222	4	222	ASIC family	PF00858.27	ASC	Family	285	445	445	85.4	2.50E-27	1	No_clan
BOX15_Mlig024351g4	Free-living	Macrostomum_lignano	44	244	36	245	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	7	216	217	104	4.60E-33	1	No_clan
BOX15_Mlig024351g4	Free-living	Macrostomum_lignano	252	384	252	391	Cys-loop family	PF02932.19	Neur_chan_memb	Family	1	135	238	66.9	1.70E-21	1	No_clan
BOX15_Mlig024916g1	Free-living	Macrostomum_lignano	11	516	11	516	ASIC family	PF00858.27	ASC	Family	1	445	445	153.5	5.40E-48	1	No_clan
BOX15_Mlig025217g1	Free-living	Macrostomum_lignano	102	541	101	542	ASIC family	PF00858.27	ASC	Family	2	444	445	294	1.20E-90	1	No_clan
BOX15_Mlig025378g2	Free-living	Macrostomum_lignano	27	588	23	588	ASIC family	PF00858.27	ASC	Family	5	445	445	193.1	5.30E-60	1	No_clan
BOX15_Mlig025449g1	Free-living	Macrostomum_lignano	37	255	35	255	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	217	217	157.4	2.10E-49	1	No_clan
BOX15_Mlig025449g1	Free-living	Macrostomum_lignano	263	411	262	439	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	146	238	71.2	8.00E-23	1	No_clan
BOX15_Mlig025621g1	Free-living	Macrostomum_lignano	14	568	14	568	ASIC family	PF00858.27	ASC	Family	1	445	445	201.6	1.40E-62	1	No_clan
BOX15_Mlig026138g2	Free-living	Macrostomum_lignano	11	518	9	518	ASIC family	PF00858.27	ASC	Family	4	445	445	138.4	2.10E-43	1	No_clan
BOX15_Mlig026396g1	Free-living	Macrostomum_lignano	14	295	3	296	ASIC family	PF00858.27	ASC	Family	210	444	445	112.1	1.90E-35	1	No_clan
BOX15_Mlig026429g3	Free-living	Macrostomum_lignano	485	753	485	753	iGluR family	PF00060.29	Lig_chan	Family	1	149	149	63.4	1.30E-20	1	CL0030
BOX15_Mlig026586g1	Free-living	Macrostomum_lignano	47	356	47	387	ASIC family	PF00858.27	ASC	Family	1	183	445	60	1.30E-19	1	No_clan
BOX15_Mlig026586g1	Free-living	Macrostomum_lignano	607	1021	591	1021	ASIC family	PF00858.27	ASC	Family	147	445	445	122.1	1.80E-38	1	No_clan
BOX15_Mlig026767g5	Free-living	Macrostomum_lignano	41	263	38	263	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	5	217	217	148.9	8.30E-47	1	No_clan
BOX15_Mlig026767g5	Free-living	Macrostomum_lignano	271	353	270	369	Cys-loop family	PF02932.19	Neur_chan_memb	Family	2	84	238	54.7	9.20E-18	1	No_clan
BOX15_Mlig026840g2	Free-living	Macrostomum_lignano	35	258	33	259	Cys-loop family	PF02931.26	Neur_chan_LBD	Family	3	216	217	154.3	1.80E-48	1	No_clan
