"ID"	"Match_Metazoa_evalue"	"Match_Protostomia_evalue"	"Match_Spiralia_evalue"	"Match_Lophotrochozoa_evalue"	"Match_Platyhelminthes_evalue"	"Match_Neodermata_evalue"	"Class"	"Species"	"hmm.acc"	"hmm.name"	"bit.score"	"E.value"	"Entry"	"Reviewed"	"Entry.Name"	"Protein.names"	"Gene.Names"	"Organism"	"Length"	"Protein.families"	"Subcellular.location..CC."	"Pfam"	"Gene.Ontology..biological.process."	"Gene.Ontology..cellular.component."	"Gene.Ontology..molecular.function."	"Gene.Ontology.IDs"	"LGIC.Family"	"Class.LGIC"
"BOX15_Mlig000862g3"	1.15e-162	2.89e-190	9.98e-187	5.76e-199	0	1.95e-156	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	245.6	2.1e-76	"A0A267H2J5"	"unreviewed"	"A0A267H2J5_9PLAT"	"Nicotinic acetylcholine receptor alpha subunit"	"BOX15_Mlig000862g3"	"Macrostomum lignano"	556	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}."	"PF02931;PF02932;"	""	"anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]"	"acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig000966g1"	0.00018	1.52e-06	4.69e-07	9.8e-06	0	NA	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	108	3.4e-34	"A0A267E3E4"	"unreviewed"	"A0A267E3E4_9PLAT"	"Mab-21 domain-containing protein"	"BOX15_Mlig000966g1 BOX15_Mlig000966g3"	"Macrostomum lignano"	597	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig000989g5"	3.28e-14	2.18e-16	7.83e-19	2.9e-31	0	1.95e-103	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	190.8	2.5e-59	"A0A267FQ21"	"unreviewed"	"A0A267FQ21_9PLAT"	"Amiloride-sensitive sodium channel subunit alpha"	"BOX15_Mlig000989g5"	"Macrostomum lignano"	809	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig002193g1"	9.63e-06	5.95e-06	3.36e-05	5.4e-08	0	3.81e-10	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	101.9	2.5e-32	"A0A267DEH5"	"unreviewed"	"A0A267DEH5_9PLAT"	"WSC domain-containing protein"	"BOX15_Mlig002193g1"	"Macrostomum lignano"	860	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig002294g2"	6.51e-42	1.55e-35	2.72e-33	7.11e-48	0	1.52e-36	"Free-living"	"Macrostomum_lignano"	"PF10613.12"	"Lig_chan-Glu_bd"	85.1	2.1e-27	"A0A267FBT9"	"unreviewed"	"A0A267FBT9_9PLAT"	"PBPe domain-containing protein"	"BOX15_Mlig002294g2"	"Macrostomum lignano"	525	""	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00060;PF10613;"	""	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"	"ionotropic glutamate receptor activity [GO:0004970]"	"GO:0004970; GO:0005886; GO:0016021"	"iGluR family"	"Free-living-iGluR family"
"BOX15_Mlig002809g2"	4.73e-10	9.04e-08	2.19e-10	7.46e-27	0	3.25e-128	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	184	2.9e-57	"A0A1I8H6N9"	"unreviewed"	"A0A1I8H6N9_9PLAT"	"Amiloride-sensitive sodium channel"	"BOX15_Mlig002809g2"	"Macrostomum lignano"	644	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig003120g3"	8.91e-21	3.39e-18	8.3e-21	7.25e-31	0	5.8e-73	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	240.5	2.2e-74	"A0A267G3Q5"	"unreviewed"	"A0A267G3Q5_9PLAT"	"Amiloride-sensitive sodium channel"	"BOX15_Mlig003120g3"	"Macrostomum lignano"	554	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig003611g1"	1.65e-22	4.84e-20	1.69e-20	1.69e-22	5.78e-276	1.31e-19	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	45.3	4.1e-15	"A0A267EV34"	"unreviewed"	"A0A267EV34_9PLAT"	"Neur_chan_LBD domain-containing protein"	"BOX15_Mlig003611g1"	"Macrostomum lignano"	405	""	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF02931;"	""	"integral component of membrane [GO:0016021]"	"extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0005230; GO:0016021"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig003898g1"	1.54e-51	1.09e-56	1.86e-48	1.25e-50	0	7.76e-47	"Free-living"	"Macrostomum_lignano"	"PF10613.12"	"Lig_chan-Glu_bd"	104.1	2.8e-33	"A0A267G8I9"	"unreviewed"	"A0A267G8I9_9PLAT"	"Glutamate receptor"	"BOX15_Mlig003898g1"	"Macrostomum lignano"	496	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00060;PF10613;"	""	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"	"ionotropic glutamate receptor activity [GO:0004970]"	"GO:0004970; GO:0005886; GO:0016021"	"iGluR family"	"Free-living-iGluR family"
"BOX15_Mlig004065g1"	1.21e-107	9.39e-123	4.33e-128	2.25e-124	0	1.81e-138	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	199.1	3.5e-62	"A0A1I8GI89"	"unreviewed"	"A0A1I8GI89_9PLAT"	"Nicotinic acetylcholine receptor alpha 4 subunit"	"BOX15_Mlig004065g1"	"Macrostomum lignano"	552	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}."	"PF02931;PF02932;"	""	"anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]"	"acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig004551g4"	1.49e-13	1.13e-10	4.03e-12	2.28e-19	0	3.2e-106	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	176.7	4.8e-55	"A0A267FLY3"	"unreviewed"	"A0A267FLY3_9PLAT"	"Amiloride-sensitive sodium channel"	"BOX15_Mlig004551g4"	"Macrostomum lignano"	674	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig004814g1"	2.79e-65	7.64e-45	7.57e-33	6.77e-65	0	2.26e-13	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	308.8	4e-95	"A0A267GUI2"	"unreviewed"	"A0A267GUI2_9PLAT"	"Amiloride-sensitive sodium channel subunit alpha"	"BOX15_Mlig004814g1"	"Macrostomum lignano"	641	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig004863g1"	1.85e-73	3.59e-81	5.33e-102	3.24e-118	0	2.06e-145	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	188.3	7.2e-59	"A0A267EL52"	"unreviewed"	"A0A267EL52_9PLAT"	"Acetylcholine receptor subunit alpha-type acr-16"	"BOX15_Mlig004863g1"	"Macrostomum lignano"	670	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}."	"PF02931;PF02932;"	""	"anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]"	"acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig005119g9"	5.43e-91	3.5e-88	1.88e-120	3.37e-167	0	6.58e-160	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	212.7	2.5e-66	"A0A267GKY0"	"unreviewed"	"A0A267GKY0_9PLAT"	"Nicotinic acetylcholine receptor alpha 5 subunit"	"BOX15_Mlig005119g9"	"Macrostomum lignano"	666	"Ligand-gated ion channel (TC 1.A.9) family"	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}."	"PF02931;PF02932;"	""	"anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]"	"acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig005363g2"	1.71e-11	1.22e-16	3.06e-10	3.37e-23	0	7.71e-28	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	170	5.4e-53	"A0A267EYJ9"	"unreviewed"	"A0A267EYJ9_9PLAT"	"Acid-sensing ion channel 1"	"BOX15_Mlig005363g2"	"Macrostomum lignano"	629	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig005480g1"	1.45e-17	2.99e-33	1.82e-34	4.97e-41	3.76e-142	4.03e-29	"Free-living"	"Macrostomum_lignano"	"PF02932.19"	"Neur_chan_memb"	96.1	2e-30	"A0A267GI55"	"unreviewed"	"A0A267GI55_9PLAT"	"Neur_chan_memb domain-containing protein"	"BOX15_Mlig005480g1"	"Macrostomum lignano"	265	""	""	"PF02932;"	""	"integral component of membrane [GO:0016021]"	"GABA-A receptor activity [GO:0004890]; ion channel activity [GO:0005216]"	"GO:0004890; GO:0005216; GO:0016021"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig005955g1"	2.84e-25	3.21e-21	7.85e-18	4.08e-24	0	4.49e-27	"Free-living"	"Macrostomum_lignano"	"PF10613.12"	"Lig_chan-Glu_bd"	23.7	2.5e-08	"A0A267H1B0"	"unreviewed"	"A0A267H1B0_9PLAT"	"PBPe domain-containing protein"	"BOX15_Mlig005955g1"	"Macrostomum lignano"	857	""	""	"PF00060;PF00497;"	""	"integral component of membrane [GO:0016021]"	"ligand-gated ion channel activity [GO:0015276]"	"GO:0015276; GO:0016021"	"iGluR family"	"Free-living-iGluR family"
"BOX15_Mlig006056g2"	6.92e-11	6e-07	NA	7.67e-09	0	1.9e-09	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	154.5	2.6e-48	"A0A267G1X8"	"unreviewed"	"A0A267G1X8_9PLAT"	"WSC domain-containing protein"	"BOX15_Mlig006056g2"	"Macrostomum lignano"	1049	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig006075g1"	2.38e-10	2.56e-14	9.94e-14	8.97e-26	0	3.96e-24	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	179.3	7.9e-56	"A0A267F391"	"unreviewed"	"A0A267F391_9PLAT"	"Amiloride-sensitive sodium channel"	"BOX15_Mlig006075g1"	"Macrostomum lignano"	688	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
"BOX15_Mlig006140g2"	2.4e-29	1.62e-27	5.98e-28	4.66e-34	1.87e-87	5.55e-37	"Free-living"	"Macrostomum_lignano"	"PF02931.26"	"Neur_chan_LBD"	17.7	1.1e-06	"A0A267DPK4"	"unreviewed"	"A0A267DPK4_9PLAT"	"Neur_chan_memb domain-containing protein"	"BOX15_Mlig006140g2"	"Macrostomum lignano"	129	""	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF02932;"	""	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]"	"extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]"	"GO:0004888; GO:0005230; GO:0005886; GO:0016021"	"Cys-loop family"	"Free-living-Cys-loop family"
"BOX15_Mlig006398g1"	1.61e-06	0.00028	NA	4.82e-08	0	1.85e-12	"Free-living"	"Macrostomum_lignano"	"PF00858.27"	"ASC"	59.3	2.1e-19	"A0A267GN93"	"unreviewed"	"A0A267GN93_9PLAT"	"Amiloride-sensitive sodium channel"	"BOX15_Mlig006398g1"	"Macrostomum lignano"	1033	"Amiloride-sensitive sodium channel (TC 1.A.6) family"	"SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}."	"PF00858;"	""	"integral component of membrane [GO:0016021]"	"sodium channel activity [GO:0005272]"	"GO:0005272; GO:0016021"	"ASIC family"	"Free-living-ASIC family"
