ID	Match_Metazoa_evalue	Match_Protostomia_evalue	Match_Spiralia_evalue	Match_Lophotrochozoa_evalue	Match_Platyhelminthes_evalue	Match_Neodermata_evalue	Class	Species	hmm.acc	hmm.name	bit.score	E.value	Entry	Reviewed	Entry.Name	Protein.names	Gene.Names	Organism	Length	Protein.families	Subcellular.location..CC.	Pfam	Gene.Ontology..biological.process.	Gene.Ontology..cellular.component.	Gene.Ontology..molecular.function.	Gene.Ontology.IDs	LGIC.Family	Class.LGIC
BOX15_Mlig000862g3	162	190	186	198	308	156	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	245.6	2.10E-76	A0A267H2J5	unreviewed	A0A267H2J5_9PLAT	Nicotinic acetylcholine receptor alpha subunit	BOX15_Mlig000862g3	Macrostomum lignano	556	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig000966g1	4	6	6	5	308	NA	Free-living	Macrostomum_lignano	PF00858.27	ASC	108	3.40E-34	A0A267E3E4	unreviewed	A0A267E3E4_9PLAT	Mab-21 domain-containing protein	BOX15_Mlig000966g1 BOX15_Mlig000966g3	Macrostomum lignano	597	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig000989g5	13	16	18	31	308	103	Free-living	Macrostomum_lignano	PF00858.27	ASC	190.8	2.50E-59	A0A267FQ21	unreviewed	A0A267FQ21_9PLAT	Amiloride-sensitive sodium channel subunit alpha	BOX15_Mlig000989g5	Macrostomum lignano	809	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig002193g1	5	5	4	7	308	9	Free-living	Macrostomum_lignano	PF00858.27	ASC	101.9	2.50E-32	A0A267DEH5	unreviewed	A0A267DEH5_9PLAT	WSC domain-containing protein	BOX15_Mlig002193g1	Macrostomum lignano	860	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig002294g2	41	35	33	47	308	36	Free-living	Macrostomum_lignano	PF10613.12	Lig_chan-Glu_bd	85.1	2.10E-27	A0A267FBT9	unreviewed	A0A267FBT9_9PLAT	PBPe domain-containing protein	BOX15_Mlig002294g2	Macrostomum lignano	525		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021	iGluR family	Free-living-iGluR family
BOX15_Mlig002809g2	9	7	10	26	308	127	Free-living	Macrostomum_lignano	PF00858.27	ASC	184	2.90E-57	A0A1I8H6N9	unreviewed	A0A1I8H6N9_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig002809g2	Macrostomum lignano	644	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig003120g3	20	17	20	30	308	72	Free-living	Macrostomum_lignano	PF00858.27	ASC	240.5	2.20E-74	A0A267G3Q5	unreviewed	A0A267G3Q5_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig003120g3	Macrostomum lignano	554	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig003611g1	22	19	20	22	275	19	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	45.3	4.10E-15	A0A267EV34	unreviewed	A0A267EV34_9PLAT	Neur_chan_LBD domain-containing protein	BOX15_Mlig003611g1	Macrostomum lignano	405		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig003898g1	51	56	48	50	308	46	Free-living	Macrostomum_lignano	PF10613.12	Lig_chan-Glu_bd	104.1	2.80E-33	A0A267G8I9	unreviewed	A0A267G8I9_9PLAT	Glutamate receptor	BOX15_Mlig003898g1	Macrostomum lignano	496		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021	iGluR family	Free-living-iGluR family
BOX15_Mlig004065g1	107	122	127	124	308	138	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	199.1	3.50E-62	A0A1I8GI89	unreviewed	A0A1I8GI89_9PLAT	Nicotinic acetylcholine receptor alpha 4 subunit	BOX15_Mlig004065g1	Macrostomum lignano	552	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig004551g4	13	10	11	19	308	105	Free-living	Macrostomum_lignano	PF00858.27	ASC	176.7	4.80E-55	A0A267FLY3	unreviewed	A0A267FLY3_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig004551g4	Macrostomum lignano	674	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig004814g1	65	44	32	64	308	13	Free-living	Macrostomum_lignano	PF00858.27	ASC	308.8	4.00E-95	A0A267GUI2	unreviewed	A0A267GUI2_9PLAT	Amiloride-sensitive sodium channel subunit alpha	BOX15_Mlig004814g1	Macrostomum lignano	641	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig004863g1	73	80	101	117	308	145	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	188.3	7.20E-59	A0A267EL52	unreviewed	A0A267EL52_9PLAT	Acetylcholine receptor subunit alpha-type acr-16	BOX15_Mlig004863g1	Macrostomum lignano	670	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig005119g9	90	87	120	166	308	159	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	212.7	2.50E-66	A0A267GKY0	unreviewed	A0A267GKY0_9PLAT	Nicotinic acetylcholine receptor alpha 5 subunit	BOX15_Mlig005119g9	Macrostomum lignano	666	Ligand-gated ion channel (TC 1.A.9) family	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}. Postsynaptic cell membrane {ECO:0000256|ARBA:ARBA00034104}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034104}. Synaptic cell membrane {ECO:0000256|ARBA:ARBA00034099}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00034099}.	PF02931;PF02932;		anchoring junction [GO:0070161]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]	acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0016021; GO:0022848; GO:0045211; GO:0070161	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig005363g2	11	16	10	22	308	27	Free-living	Macrostomum_lignano	PF00858.27	ASC	170	5.40E-53	A0A267EYJ9	unreviewed	A0A267EYJ9_9PLAT	Acid-sensing ion channel 1	BOX15_Mlig005363g2	Macrostomum lignano	629	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig005480g1	17	33	34	40	141	28	Free-living	Macrostomum_lignano	PF02932.19	Neur_chan_memb	96.1	2.00E-30	A0A267GI55	unreviewed	A0A267GI55_9PLAT	Neur_chan_memb domain-containing protein	BOX15_Mlig005480g1	Macrostomum lignano	265			PF02932;		integral component of membrane [GO:0016021]	GABA-A receptor activity [GO:0004890]; ion channel activity [GO:0005216]	GO:0004890; GO:0005216; GO:0016021	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig005955g1	25	20	17	23	308	26	Free-living	Macrostomum_lignano	PF10613.12	Lig_chan-Glu_bd	23.7	2.50E-08	A0A267H1B0	unreviewed	A0A267H1B0_9PLAT	PBPe domain-containing protein	BOX15_Mlig005955g1	Macrostomum lignano	857			PF00060;PF00497;		integral component of membrane [GO:0016021]	ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021	iGluR family	Free-living-iGluR family
BOX15_Mlig006056g2	10	6	NA	8	308	9	Free-living	Macrostomum_lignano	PF00858.27	ASC	154.5	2.60E-48	A0A267G1X8	unreviewed	A0A267G1X8_9PLAT	WSC domain-containing protein	BOX15_Mlig006056g2	Macrostomum lignano	1049	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig006075g1	10	14	13	25	308	23	Free-living	Macrostomum_lignano	PF00858.27	ASC	179.3	7.90E-56	A0A267F391	unreviewed	A0A267F391_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig006075g1	Macrostomum lignano	688	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig006140g2	29	27	27	33	87	36	Free-living	Macrostomum_lignano	PF02931.26	Neur_chan_LBD	17.7	1.10E-06	A0A267DPK4	unreviewed	A0A267DPK4_9PLAT	Neur_chan_memb domain-containing protein	BOX15_Mlig006140g2	Macrostomum lignano	129		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02932;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0005886; GO:0016021	Cys-loop family	Free-living-Cys-loop family
BOX15_Mlig006398g1	6	4	NA	7	308	12	Free-living	Macrostomum_lignano	PF00858.27	ASC	59.3	2.10E-19	A0A267GN93	unreviewed	A0A267GN93_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig006398g1	Macrostomum lignano	1033	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig006976g1	5	5	7	7	308	10	Free-living	Macrostomum_lignano	PF00858.27	ASC	110.2	7.30E-35	A0A267FRW6	unreviewed	A0A267FRW6_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig006976g1	Macrostomum lignano	504	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig007166g1	9	12	13	28	308	19	Free-living	Macrostomum_lignano	PF00858.27	ASC	183.9	3.20E-57	A0A1I8J0N4	unreviewed	A0A1I8J0N4_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig007166g1 BOX15_Mlig007166g3 BOX15_Mlig007166g4	Macrostomum lignano	606	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig007204g1	5	4	6	10	308	10	Free-living	Macrostomum_lignano	PF00858.27	ASC	40.9	7.70E-14	A0A267GC91	unreviewed	A0A267GC91_9PLAT	WSC domain-containing protein	BOX15_Mlig007204g1	Macrostomum lignano	1052	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;PF01822;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig007222g3	21	21	19	32	308	24	Free-living	Macrostomum_lignano	PF00858.27	ASC	215.5	8.10E-67	A0A1I8IDP5	unreviewed	A0A1I8IDP5_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig007222g3	Macrostomum lignano	737	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig007416g1	5	5	8	11	76	21	Free-living	Macrostomum_lignano	PF00858.27	ASC	63.1	1.50E-20	A0A267G286	unreviewed	A0A267G286_9PLAT	Amiloride-sensitive cation channel 5	BOX15_Mlig007416g1	Macrostomum lignano	112	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig007558g1	18	17	18	36	308	111	Free-living	Macrostomum_lignano	PF00858.27	ASC	205.4	9.60E-64	A0A267GWK9	unreviewed	A0A267GWK9_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig007558g1	Macrostomum lignano	719	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
BOX15_Mlig007609g1	11	6	5	16	308	38	Free-living	Macrostomum_lignano	PF00858.27	ASC	127.8	3.40E-40	A0A267G831	unreviewed	A0A267G831_9PLAT	Amiloride-sensitive sodium channel	BOX15_Mlig007609g1	Macrostomum lignano	481	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021	ASIC family	Free-living-ASIC family
